date,fund,ret
2021-06-03,Equity Min-Variance,0.004016787130119256
2021-06-04,Equity Min-Variance,0.006110329946583686
2021-06-07,Equity Min-Variance,-0.004135364329423452
2021-06-08,Equity Min-Variance,-0.005496243799087797
2021-06-09,Equity Min-Variance,0.004984569015707337
2021-06-10,Equity Min-Variance,0.008377253782959813
2021-06-11,Equity Min-Variance,0.0019913854600346857
2021-06-14,Equity Min-Variance,0.00034354541857586733
2021-06-15,Equity Min-Variance,-0.004470574809072239
2021-06-16,Equity Min-Variance,-0.010999443298227591
2021-06-17,Equity Min-Variance,-0.00041300185100370964
2021-06-18,Equity Min-Variance,-0.010720539258958404
2021-06-21,Equity Min-Variance,0.010393545935443248
2021-06-22,Equity Min-Variance,-0.0008140680967481518
2021-06-23,Equity Min-Variance,-0.007386625916885667
2021-06-24,Equity Min-Variance,0.005178970980508069
2021-06-25,Equity Min-Variance,0.011306602718090595
2021-06-28,Equity Min-Variance,0.002245477607041038
2021-06-29,Equity Min-Variance,-0.003047069588820438
2021-06-30,Equity Min-Variance,0.0075796277314795265
2021-07-01,Equity Min-Variance,0.0035913106330728896
2021-07-02,Equity Min-Variance,0.005067535675041009
2021-07-06,Equity Min-Variance,-0.0021292202805023278
2021-07-07,Equity Min-Variance,0.0023249177786415806
2021-07-08,Equity Min-Variance,-0.00490591794840735
2021-07-09,Equity Min-Variance,0.006831943636917707
2021-07-12,Equity Min-Variance,0.0021149111366640656
2021-07-13,Equity Min-Variance,-0.0025999488961029535
2021-07-14,Equity Min-Variance,0.004103002296001249
2021-07-15,Equity Min-Variance,0.0014967592116848793
2021-07-16,Equity Min-Variance,-0.0013287364735902415
2021-07-19,Equity Min-Variance,-0.01360911439980009
2021-07-20,Equity Min-Variance,0.0053919934959009135
2021-07-21,Equity Min-Variance,-0.0017402624837538664
2021-07-22,Equity Min-Variance,-8.67907456171206e-05
2021-07-23,Equity Min-Variance,0.010214148162070492
2021-07-26,Equity Min-Variance,0.0010575931094553032
2021-07-27,Equity Min-Variance,0.0011653742080956035
2021-07-28,Equity Min-Variance,-0.0009841725084540251
2021-07-29,Equity Min-Variance,-0.000643294179294321
2021-07-30,Equity Min-Variance,-0.0026766649337225472
2021-08-02,Equity Min-Variance,-0.0015536223857167287
2021-08-03,Equity Min-Variance,0.0006650793795736295
2021-08-04,Equity Min-Variance,-0.008180632259560807
2021-08-05,Equity Min-Variance,0.0044377445676926
2021-08-06,Equity Min-Variance,-0.0011925239624041714
2021-08-09,Equity Min-Variance,0.001126965372685494
2021-08-10,Equity Min-Variance,0.004474989191979529
2021-08-11,Equity Min-Variance,0.004139558150434518
2021-08-12,Equity Min-Variance,0.00279465170245778
2021-08-13,Equity Min-Variance,0.003946110682122857
2021-08-16,Equity Min-Variance,0.006751201476684188
2021-08-17,Equity Min-Variance,0.00286975327292468
2021-08-18,Equity Min-Variance,-0.0108768207918626
2021-08-19,Equity Min-Variance,0.001530999946086413
2021-08-20,Equity Min-Variance,0.003869293859515326
2021-08-23,Equity Min-Variance,-0.0014212953321276305
2021-08-24,Equity Min-Variance,-0.005214337343128576
2021-08-25,Equity Min-Variance,-0.0035912564149089047
2021-08-26,Equity Min-Variance,-0.006164126546800178
2021-08-27,Equity Min-Variance,0.0017593448847611315
2021-08-30,Equity Min-Variance,0.003844198001585892
2021-08-31,Equity Min-Variance,0.003754789925975021
2021-09-01,Equity Min-Variance,0.0009827909235036914
2021-09-02,Equity Min-Variance,0.006287714339833255
2021-09-03,Equity Min-Variance,-0.0011223343174168177
2021-09-07,Equity Min-Variance,-0.013690948532229994
2021-09-08,Equity Min-Variance,0.004300602816729591
2021-09-09,Equity Min-Variance,-0.011077775799465237
2021-09-10,Equity Min-Variance,-0.007398855322509172
2021-09-13,Equity Min-Variance,-0.00031828922901235376
2021-09-14,Equity Min-Variance,-0.005681829582738895
2021-09-15,Equity Min-Variance,0.002973824833961133
2021-09-16,Equity Min-Variance,-0.00466774587711019
2021-09-17,Equity Min-Variance,-0.007888217010473531
2021-09-20,Equity Min-Variance,-0.009124065009425994
2021-09-21,Equity Min-Variance,-0.004189502698404731
2021-09-22,Equity Min-Variance,0.0004289714402910063
2021-09-23,Equity Min-Variance,0.0032447845427270414
2021-09-24,Equity Min-Variance,-0.0025751619279921877
2021-09-27,Equity Min-Variance,-0.0034032400458280055
2021-09-28,Equity Min-Variance,-0.005383891941993488
2021-09-29,Equity Min-Variance,0.008601666682416291
2021-09-30,Equity Min-Variance,-0.009493904904488593
2021-10-01,Equity Min-Variance,0.014194891817260271
2021-10-04,Equity Min-Variance,0.0022484907056224265
2021-10-05,Equity Min-Variance,0.0011152383926345735
2021-10-06,Equity Min-Variance,0.002561815183893335
2021-10-07,Equity Min-Variance,0.008648249726960117
2021-10-08,Equity Min-Variance,-0.005140993991974911
