sector,date,sentiment_index,sentiment_index_z
Comm,2020-01-02,0.11544833333333333,0.6124386264901367
Comm,2020-01-03,0.04757666666666667,-0.24163582372080136
Comm,2020-01-06,0.09766666666666667,0.3886800549384215
Comm,2020-01-07,0.13585,0.8691664055101522
Comm,2020-01-08,0.049216,-0.22100699899699716
Comm,2020-01-09,-0.027080000000000003,-1.1810904543410594
Comm,2020-01-10,-0.09694333333333334,-2.060227374605826
Comm,2020-01-13,0.018807499999999998,-0.6036574361343297
Comm,2020-01-14,0.032260833333333336,-0.4343651697958306
Comm,2020-01-15,0.014103333333333332,-0.6628531028514274
Comm,2020-01-16,0.06567166666666666,-0.013934369850994412
Comm,2020-01-17,0.02642,-0.5078642713051554
Comm,2020-01-21,0.02204333333333333,-0.5629387870887157
Comm,2020-01-22,-0.06040000000000001,-1.600378237869215
Comm,2020-01-23,0.17371285714285714,1.3456199904282724
Comm,2020-01-24,0.01101709090909091,-0.7016893497149078
Comm,2020-01-27,-0.008232424242424244,-0.9439188377662414
Comm,2020-01-28,0.009554999999999994,-0.7200878147986232
Comm,2020-01-29,0.11575500000000001,0.6162976176950778
Comm,2020-01-30,-0.032986666666666664,-1.255417980592749
Comm,2020-01-31,-0.17998727272727272,-3.1052246520347375
Comm,2020-02-03,0.10843499999999999,0.5241851754553988
Comm,2020-02-04,0.20932150000000002,1.793707293490011
Comm,2020-02-05,0.083944,0.21599858762862661
Comm,2020-02-06,0.025545952380952384,-0.5188629954614741
Comm,2020-02-07,0.10140199999999999,0.43568424563686586
Comm,2020-02-10,0.039615,-0.3418227856012535
Comm,2020-02-11,-0.006911058823529412,-0.927291215385714
Comm,2020-02-12,0.06683833333333333,0.0007465749504117214
Comm,2020-02-13,0.07716785714285715,0.13072986255535018
Comm,2020-02-14,0.178385,1.4044126801911272
Comm,2020-02-18,0.02304457142857143,-0.5503395403379253
Comm,2020-02-19,0.034506238095238104,-0.4061097440532551
Comm,2020-02-20,0.028182738095238098,-0.4856825621547045
Comm,2020-02-21,0.029458571428571424,-0.4696279003754527
Comm,2020-02-24,-0.0017900000000000027,-0.8628495166031526
Comm,2020-02-25,-0.05216,-1.496688822014713
Comm,2020-02-26,0.02384666666666667,-0.5402462409813995
Comm,2020-02-27,-0.008239999999999989,-0.9440141685766399
Comm,2020-02-28,-0.14993357142857142,-2.7270388835968706
Comm,2020-03-02,0.09806999999999999,0.3937554672840503
Comm,2020-03-03,0.051902000000000004,-0.18720726950850297
Comm,2020-03-04,0.027956666666666668,-0.48852736972387484
Comm,2020-03-05,0.08521666666666666,0.23201340112913169
Comm,2020-03-06,0.05649,-0.12947340543805955
Comm,2020-03-09,-0.004284761904761903,-0.8942427695886896
Comm,2020-03-10,-0.040745333333333335,-1.3530504580777567
Comm,2020-03-11,0.035309999999999994,-0.39599547191844175
Comm,2020-03-12,-0.003522000000000003,-0.8846444277997542
Comm,2020-03-13,0.013892999999999999,-0.6654998674713379
Comm,2020-03-16,0.013208222222222215,-0.6741168829771538
Comm,2020-03-17,0.021330666666666668,-0.5719067470845459
Comm,2020-03-18,-0.0028460000000000013,-0.8761378689262538
Comm,2020-03-19,0.03406000000000001,-0.4117250556342337
Comm,2020-03-20,-0.057045,-1.5581600351760285
Comm,2020-03-23,0.09480590909090908,0.3526812343156491
Comm,2020-03-24,0.08526323809523809,0.23259944047671427
Comm,2020-03-25,0.12598066666666669,0.7449740016015728
Comm,2020-03-26,0.11148166666666666,0.5625234141653562
Comm,2020-03-27,0.06303066666666667,-0.04716783432571994
Comm,2020-03-30,0.052564,-0.1788768819726195
Comm,2020-03-31,0.146395,1.0018611737365748
Comm,2020-04-01,0.126975,0.7574863611280281
Comm,2020-04-02,0.007093333333333336,-0.7510646083295897
Comm,2020-04-03,0.14545285714285713,0.9900055617816433
Comm,2020-04-06,0.15274666666666667,1.0817884317910866
Comm,2020-04-07,0.11865181818181818,0.652750212975348
Comm,2020-04-08,0.09945933333333333,0.4112383752646962
Comm,2020-04-09,-0.0132,-1.0064291567609034
Comm,2020-04-13,-0.08720666666666667,-1.9377044038489493
Comm,2020-04-14,0.11058857142857144,0.551285001114321
Comm,2020-04-15,0.004403,-0.7849188670416319
Comm,2020-04-16,0.179031,1.4125417290554487
Comm,2020-04-17,0.11407333333333333,0.5951360844027653
Comm,2020-04-20,0.12852,0.7769281266007471
Comm,2020-04-21,0.04266833333333334,-0.3034006557781451
Comm,2020-04-22,0.06581019047619048,-0.012191232364166058
Comm,2020-04-23,-0.003664999999999999,-0.8864438921768408
Comm,2020-04-24,0.006646060606060607,-0.7566929393755313
